"###","- - - - - - - - - - - - - - - - - - - - -"
"###","Custom phrases that exist only in this theme."
"###","- - - - - - - - - - - - - - - - - - - - -"
"###","Page Module"
"Results per page","Risultati per pagina"
"%s-%s of %s","%s-%s dei %s"
"###","Catalog Module"
"Filter","Filtro"
"View Details","Vedi i dettagli"
"Share on Facebook","Condividi su Facebook"
"Share on Twitter","Condividi su Twitter"
"###","Checkout Module"
"Are you sure you want to leave this page? You will need to go through the checkout steps again.","Sei sicuro di voler lasciare questa pagina? Dovrai seguire i passaggi della verifica di nuovo."
"Zip/Postal Code","Codice postale"
"Discount Codes?","Codici sconto?"
"###","Customer Module"
"Registration is free and easy!","La registrazione è gratuita e facile!"
"Faster checkout","Acquista più velocemente"
"Save multiple shipping addresses","Salva più indirizzi di spedizione"
"View and track orders and more","Visualizza e traccia gli ordini e altro ancora"
"###","Shipment Module"
"Item in your order","Articolo nel suo ordine"
"Items in your order","Articoli nel suo ordine"
